train_batch,lambda_w,noise_dim,L1,L2,MSE_mean,MSE_sd,L1_mean,L1_sd,L2_mean,L2_sd,MSE_mean_mean,MSE_mean_sd,MSE_sd_mean,MSE_sd_sd
512,1.0,1,1.403(0.043),4.739(0.608),1.613(0.399),0.661(0.286),1.403,0.043,4.739,0.608,1.613,0.399,0.661,0.286
256,0.0,1,1.232(0.021),3.603(0.187),0.260(0.092),0.800(0.133),1.232,0.021,3.603,0.187,0.26,0.092,0.8,0.133
256,0.2,1,1.233(0.019),3.619(0.190),0.270(0.117),0.293(0.035),1.233,0.019,3.619,0.19,0.27,0.117,0.293,0.035
256,0.5,1,1.242(0.028),3.629(0.202),0.294(0.112),0.387(0.073),1.242,0.028,3.629,0.202,0.294,0.112,0.387,0.073
256,0.9,1,1.248(0.016),3.683(0.100),0.315(0.099),0.500(0.100),1.248,0.016,3.683,0.1,0.315,0.099,0.5,0.1
256,1.0,1,1.355(0.046),4.422(0.462),1.227(0.411),0.797(0.360),1.355,0.046,4.422,0.462,1.227,0.411,0.797,0.36
128,0.0,1,1.232(0.019),3.629(0.203),0.269(0.102),0.922(0.191),1.232,0.019,3.629,0.203,0.269,0.102,0.922,0.191
128,0.2,1,1.240(0.017),3.661(0.202),0.286(0.092),0.277(0.041),1.24,0.017,3.661,0.202,0.286,0.092,0.277,0.041
128,0.5,1,1.236(0.016),3.642(0.180),0.288(0.093),0.367(0.053),1.236,0.016,3.642,0.18,0.288,0.093,0.367,0.053
128,0.9,1,1.249(0.009),3.699(0.162),0.314(0.082),0.436(0.120),1.249,0.009,3.699,0.162,0.314,0.082,0.436,0.12
128,1.0,1,1.326(0.051),4.084(0.333),0.824(0.251),0.570(0.167),1.326,0.051,4.084,0.333,0.824,0.251,0.57,0.167
64,0.0,1,1.230(0.021),3.566(0.258),0.317(0.127),0.995(0.216),1.23,0.021,3.566,0.258,0.317,0.127,0.995,0.216
64,0.2,1,1.241(0.013),3.665(0.161),0.314(0.118),0.248(0.048),1.241,0.013,3.665,0.161,0.314,0.118,0.248,0.048
